filename,frontier,number,topics
SNOWMASS21-AF-TOPIC0-001.pdf,AF,001,
SNOWMASS21-AF7-002.pdf,AF,002,AF7
SNOWMASS21-AF7-EF9-003.pdf,AF,003,"AF7,EF9"
SNOWMASS21-AF7-004.pdf,AF,004,AF7
SNOWMASS21-AF6-005.pdf,AF,005,AF6
SNOWMASS21-AF6-006.pdf,AF,006,AF6
SNOWMASS21-AF1-008.pdf,AF,008,AF1
SNOWMASS21-AF7-009.pdf,AF,009,AF7
SNOWMASS21-AF3-010.pdf,AF,010,AF3
SNOWMASS21-AF3-011.pdf,AF,011,AF3
SNOWMASS21-AF6-011.pdf,AF,011,AF6
SNOWMASS21-AF1-012.pdf,AF,012,AF1
SNOWMASS21-AF7-013.pdf,AF,013,AF7
SNOWMASS21-AF7-014.pdf,AF,014,AF7
SNOWMASS21-AF0-015.pdf,AF,015,AF0
SNOWMASS21-AF7-016.pdf,AF,016,AF7
SNOWMASS21-AF7_AF7-017.pdf,AF,017,AF7
SNOWMASS21-AF7-018.pdf,AF,018,AF7
SNOWMASS21-AF0_AF0_toru.ogitsu@kek.jp-019.pdf,AF,019,AF0
SNOWMASS21-AF7_AF0-020.pdf,AF,020,"AF0,AF7"
SNOWMASS21-AF4_AF0_Jingyu_Tang-021.pdf,AF,021,"AF0,AF4"
SNOWMASS21-AF4_AF7_xuqj@ihep.ac.cn-022.pdf,AF,022,"AF4,AF7"
SNOWMASS21-AF1_AF0_lund@frib.msu.edu-023.pdf,AF,023,"AF0,AF1"
SNOWMASS21-AF4_AF0_Peter_McIntyre-024.pdf,AF,024,"AF0,AF4"
SNOWMASS21-AF4_AF3-EF0_EF0-NF0_NF0-RF0_RF0_seeman@slac.stanford.edu-025.pdf,AF,025,"AF3,AF4,EF0,NF0,RF0"
SNOWMASS21-AF1_AF0-CommF4_CommF2_John_Jowett-027.pdf,AF,027,"AF0,AF1,CommF2,CommF4"
SNOWMASS21-AF6_AF7-TF9_TF10-CompF6_CompF0_Kevin_Brown-028.pdf,AF,028,"AF6,AF7,CompF0,CompF6,TF1,TF9,TF10,TF1"
"SNOWMASS21-AF1_AF4_Alexander_Scheinker,_ascheink@lanl.gov-029.pdf",AF,029,"AF1,AF4"
SNOWMASS21-AF5_AF0_Frank_Rathmann-030.pdf,AF,030,"AF0,AF5"
SNOWMASS21-AF3_AF0-032.pdf,AF,032,"AF0,AF3"
SNOWMASS21-AF4_AF0-033.pdf,AF,033,"AF0,AF4"
SNOWMASS21-AF4_AF7-034.pdf,AF,034,"AF4,AF7"
SNOWMASS21-AF3_AF7-035.pdf,AF,035,"AF3,AF7"
SNOWMASS21-AF4_AF2_Shinji_Machida-036.pdf,AF,036,"AF2,AF4"
SNOWMASS21-AF1_AF0_Pietro_Musumeci-037.pdf,AF,037,"AF0,AF1"
SNOWMASS21-AF1_AF6-041.pdf,AF,041,"AF1,AF6"
SNOWMASS21-AF6_AF4-042.pdf,AF,042,"AF4,AF6"
SNOWMASS21-AF1_AF6-043.pdf,AF,043,"AF1,AF6"
SNOWMASS21-AF6_AF7-044.pdf,AF,044,"AF6,AF7"
SNOWMASS21-AF6_AF0_ALEGRO-046.pdf,AF,046,"AF0,AF6"
SNOWMASS21-AF7_AF6_Evgenya_Simakov-047.pdf,AF,047,"AF6,AF7"
SNOWMASS21-AF6_AF0_Joel_England-049.pdf,AF,049,"AF0,AF6"
SNOWMASS21-AF2_AF0_Chris_Prior-050.pdf,AF,050,"AF0,AF2"
SNOWMASS21-AF0_AF0_Hannes_Bartosik-051.pdf,AF,051,AF0
SNOWMASS21-AF7_AF0_Venkat_Selvamanickam-051.pdf,AF,051,"AF0,AF7"
SNOWMASS21-AF2_AF7-052.pdf,AF,052,"AF2,AF7"
SNOWMASS21-AF7_AF7_Siddharth_Karkare-052.pdf,AF,052,AF7
SNOWMASS21-AF7_AF4-054.pdf,AF,054,"AF4,AF7"
SNOWMASS21-AF1_AF7_S_Nagaitsev-056.pdf,AF,056,"AF1,AF7"
SNOWMASS21-AF7_AF0-056.pdf,AF,056,"AF0,AF7"
SNOWMASS21-AF7_AF0_Tsuyoshi_Tajima-057.pdf,AF,057,"AF0,AF7"
SNOWMASS21-AF7_AF0-057.pdf,AF,057,"AF0,AF7"
SNOWMASS21-AF7_AF0-058.pdf,AF,058,"AF0,AF7"
SNOWMASS21-AF7_AF0_Nathan_Moody-059.pdf,AF,059,"AF0,AF7"
SNOWMASS21-AF7_AF0-060.pdf,AF,060,"AF0,AF7"
SNOWMASS21-AF1_AF0-061.pdf,AF,061,"AF0,AF1"
SNOWMASS21-AF3_AF6-EF1_EF4_Litvinenko-062.pdf,AF,062,"AF3,AF6,EF1,EF4"
SNOWMASS21-AF7_AF0-063.pdf,AF,063,"AF0,AF7"
SNOWMASS21-AF7_AF4-064.pdf,AF,064,"AF4,AF7"
SNOWMASS21-AF4_AF7-EF0_EF0_C._T._Rogers-065.pdf,AF,065,"AF4,AF7,EF0"
SNOWMASS21-AF4_AF6_C._T._Rogers-066.pdf,AF,066,"AF4,AF6"
SNOWMASS21-AF7_AF0_Pasquale_Fabbricatoe-067.pdf,AF,067,"AF0,AF7"
SNOWMASS21-AF7_AF0_Fumitake_Kametani-067.pdf,AF,067,"AF0,AF7"
SNOWMASS21-AF6_AF5_AWAKEMuggli-068.pdf,AF,068,"AF5,AF6"
SNOWMASS21-AF4_AF0-069.pdf,AF,069,"AF0,AF4"
SNOWMASS21-AF7_AF0_Kroc-070.pdf,AF,070,"AF0,AF7"
SNOWMASS21-AF5_AF0-RF5_RF0_Prebys-071.pdf,AF,071,"AF0,AF5,RF0,RF5"
SNOWMASS21-AF7_AF2_Neuffer-072.pdf,AF,072,"AF2,AF7"
SNOWMASS21-AF3_AF0_Hasan_Padamsee-074.pdf,AF,074,"AF0,AF3"
SNOWMASS21-AF4_AF0_Hasan_Padamsee-075.pdf,AF,075,"AF0,AF4"
SNOWMASS21-AF6_AF0-076.pdf,AF,076,"AF0,AF6"
SNOWMASS21-AF7_AF0_sumption-077.pdf,AF,077,"AF0,AF7"
SNOWMASS21-AF6_AF0-077.pdf,AF,077,"AF0,AF6"
SNOWMASS21-AF6_AF1_Giuseppe_Torrisi-078.pdf,AF,078,"AF1,AF6"
SNOWMASS21-AF6_AF4-079.pdf,AF,079,"AF4,AF6"
SNOWMASS21-AF1_AF0-080.pdf,AF,080,"AF0,AF1"
SNOWMASS21-AF4_AF0-EF3_EF0-NF6_NF10-081.pdf,AF,081,"AF0,AF4,EF0,EF3,NF1,NF6,NF10"
SNOWMASS21-AF7_AF0_Dan_Wilcox-082.pdf,AF,082,"AF0,AF7"
SNOWMASS21-AF0_AF0_Y.Pischalnikov-083.pdf,AF,083,AF0
SNOWMASS21-AF7_AF0_David_Senor-084.pdf,AF,084,"AF0,AF7"
SNOWMASS21-AF7_AF0_Posen-086.pdf,AF,086,"AF0,AF7"
SNOWMASS21-AF7_AF0_Ganapati_Myneni-087.pdf,AF,087,"AF0,AF7"
SNOWMASS21-AF1_AF0_Shiltsev-087.pdf,AF,087,"AF0,AF1"
SNOWMASS21-AF7_AF2_Brouwer-088.pdf,AF,088,"AF2,AF7"
SNOWMASS21-AF6_AF4-088.pdf,AF,088,"AF4,AF6"
SNOWMASS21-AF7_AF0_Sumption-Cable-089.pdf,AF,089,"AF0,AF7"
SNOWMASS21-AF6_AF4-090.pdf,AF,090,"AF4,AF6"
SNOWMASS21-AF0_AF0-091.pdf,AF,091,AF0
SNOWMASS21-AF2_AF0-NF0_NF9_Jeffrey_Eldred-092.pdf,AF,092,"AF0,AF2,NF0,NF9"
SNOWMASS21-AF4_AF7_Luo-093.pdf,AF,093,"AF4,AF7"
SNOWMASS21-AF7_AF0_Luo-094.pdf,AF,094,"AF0,AF7"
SNOWMASS21-AF7_AF0_Jian_Gao-095.pdf,AF,095,"AF0,AF7"
SNOWMASS21-AF6_AF1_Vitaly_Yakimenko-096.pdf,AF,096,"AF1,AF6"
SNOWMASS21-AF6_AF0-097.pdf,AF,097,"AF0,AF6"
SNOWMASS21-AF0_AF0_S.A._Bogacz-098.pdf,AF,098,AF0
SNOWMASS21-AF1_AF7-099.pdf,AF,099,"AF1,AF7"
SNOWMASS21-AF1_AF7_GBisoffi-LRossi-100.pdf,AF,100,"AF1,AF7"
SNOWMASS21-AF4_AF6_I.V._Konoplev-101.pdf,AF,101,"AF4,AF6"
SNOWMASS21-AF4_AF7-102.pdf,AF,102,"AF4,AF7"
SNOWMASS21-AF4_AF0-EF0_EF0-103.pdf,AF,103,"AF0,AF4,EF0"
SNOWMASS21-AF4_AF7-IF9_IF0-104.pdf,AF,104,"AF4,AF7,IF0,IF9"
SNOWMASS21-AF7_AF0-IF7_IF0_Diagnostics_WG-105.pdf,AF,105,"AF0,AF7,IF0,IF7"
SNOWMASS21-AF5_AF0_T.Browder-106.pdf,AF,106,"AF0,AF5"
SNOWMASS21-AF7_AF0-107.pdf,AF,107,"AF0,AF7"
SNOWMASS21-AF7_AF4-108.pdf,AF,108,"AF4,AF7"
SNOWMASS21-AF4_AF0_S.A._Bogacz-109.pdf,AF,109,"AF0,AF4"
SNOWMASS21-AF7_AF0-110.pdf,AF,110,"AF0,AF7"
SNOWMASS21-AF7_AF0-111.pdf,AF,111,"AF0,AF7"
SNOWMASS21-AF2_AF0-112.pdf,AF,112,"AF0,AF2"
SNOWMASS21-AF0_AF0-CommF2_CommF0_Stancari-113.pdf,AF,113,"AF0,CommF0,CommF2"
SNOWMASS21-AF7_AF0_Marchevsky-114.pdf,AF,114,"AF0,AF7"
SNOWMASS21-AF7_AF0-115.pdf,AF,115,"AF0,AF7"
SNOWMASS21-AF1_AF7_Iryna_Chaikovska-116.pdf,AF,116,"AF1,AF7"
SNOWMASS21-AF1_AF7-117.pdf,AF,117,"AF1,AF7"
SNOWMASS21-AF1_AF7_M.Seidel-118.pdf,AF,118,"AF1,AF7"
SNOWMASS21-AF1_AF0_Gennady_Stupakov-119.pdf,AF,119,"AF0,AF1"
SNOWMASS21-AF7_AF0-120.pdf,AF,120,"AF0,AF7"
SNOWMASS21-AF2_AF0-NF9_NF0-121.pdf,AF,121,"AF0,AF2,NF0,NF9"
SNOWMASS21-AF1_AF0_Raubenheimer-121.pdf,AF,121,"AF0,AF1"
SNOWMASS21-AF7_AF0_Gurevich-122.pdf,AF,122,"AF0,AF7"
SNOWMASS21-AF5_AF0-RF6_RF0_Raubenheimer-122.pdf,AF,122,"AF0,AF5,RF0,RF6"
SNOWMASS21-AF7_AF6-123.pdf,AF,123,"AF6,AF7"
SNOWMASS21-AF7_AF6-124.pdf,AF,124,"AF6,AF7"
SNOWMASS21-AF7_AF0-125.pdf,AF,125,"AF0,AF7"
SNOWMASS21-AF7_AF7-126.pdf,AF,126,AF7
SNOWMASS21-AF7_AF6-CommF1_CommF0_Nanni-127.pdf,AF,127,"AF6,AF7,CommF0,CommF1"
SNOWMASS21-AF6_AF0-128.pdf,AF,128,"AF0,AF6"
SNOWMASS21-AF7_AF7_Lumpkin-129.pdf,AF,129,AF7
SNOWMASS21-AF7_AF0-130.pdf,AF,130,"AF0,AF7"
SNOWMASS21-AF6_AF6_Lumpkin-131.pdf,AF,131,AF6
SNOWMASS21-AF7_AF7_Lumpkin-132.pdf,AF,132,AF7
SNOWMASS21-AF6_AF5-EF6_EF7_Matthew_Wing-133.pdf,AF,133,"AF5,AF6,EF6,EF7"
SNOWMASS21-AF6_AF0_Bulanov-134.pdf,AF,134,"AF0,AF6"
SNOWMASS21-AF4_AF7-135.pdf,AF,135,"AF4,AF7"
SNOWMASS21-AF7_AF4_R._LI_VOTI_and_G._CESARINI-137.pdf,AF,137,"AF4,AF7"
SNOWMASS21-AF2_AF7-139.pdf,AF,139,"AF2,AF7"
SNOWMASS21-AF1_AF7-140.pdf,AF,140,"AF1,AF7"
SNOWMASS21-AF6_AF7_Massimo_Ferrario-141.pdf,AF,141,"AF6,AF7"
SNOWMASS21-AF7_AF0_Mentink-141.pdf,AF,141,"AF0,AF7"
SNOWMASS21-AF7_AF7_Rob_van_Weelderen-142.pdf,AF,142,AF7
SNOWMASS21-AF3_AF1-EF0_EF0-RF0_RF0-143.pdf,AF,143,"AF1,AF3,EF0,RF0"
SNOWMASS21-AF4_AF0-144.pdf,AF,144,"AF0,AF4"
SNOWMASS21-AF1_AF2_Kiersten_Ruisard-145.pdf,AF,145,"AF1,AF2"
SNOWMASS21-AF3_AF1-EF0_EF0-RF0_RF0_Benedikt1-146.pdf,AF,146,"AF1,AF3,EF0,RF0"
SNOWMASS21-AF3_AF1-EF0_EF0-RF0_RF0_Benedikt2-147.pdf,AF,147,"AF1,AF3,EF0,RF0"
SNOWMASS21-AF3_AF1-EF0_EF0-RF0_RF0_Benedikt3-148.pdf,AF,148,"AF1,AF3,EF0,RF0"
SNOWMASS21-AF3_AF1-EF0_EF0-RF0_RF0_Benedikt4-149.pdf,AF,149,"AF1,AF3,EF0,RF0"
SNOWMASS21-AF3_AF7_Benedikt5-150.pdf,AF,150,"AF3,AF7"
SNOWMASS21-AF7_AF3_Benedikt6-151.pdf,AF,151,"AF3,AF7"
SNOWMASS21-AF7_AF3_Benedikt7-152.pdf,AF,152,"AF3,AF7"
SNOWMASS21-AF4_AF1-EF0_EF0_Benedikt7-153.pdf,AF,153,"AF1,AF4,EF0"
SNOWMASS21-AF6_AF0_Krushelnick-154.pdf,AF,154,"AF0,AF6"
SNOWMASS21-AF1_AF6_Zimmermann-155.pdf,AF,155,"AF1,AF6"
SNOWMASS21-AF1_AF6_Zimmermann-156.pdf,AF,156,"AF1,AF6"
SNOWMASS21-AF1_AF0_Zimmermann-157.pdf,AF,157,"AF0,AF1"
SNOWMASS21-AF2_AF0_pellico-158.pdf,AF,158,"AF0,AF2"
SNOWMASS21-AF7_AF4_Calviani-159.pdf,AF,159,"AF4,AF7"
SNOWMASS21-AF7_AF5_Calviani-160.pdf,AF,160,"AF5,AF7"
SNOWMASS21-AF1_AF4-161.pdf,AF,161,"AF1,AF4"
SNOWMASS21-AF6_AF7_Buescher-162.pdf,AF,162,"AF6,AF7"
SNOWMASS21-AF5_AF0-RF6_RF0-163.pdf,AF,163,"AF0,AF5,RF0,RF6"
SNOWMASS21-AF6_AF4-CompF3_CompF2_Brendan_OShea-165.pdf,AF,165,"AF4,AF6,CompF2,CompF3"
SNOWMASS21-AF7_AF0-166.pdf,AF,166,"AF0,AF7"
SNOWMASS21-AF4_AF7_Kathleen_M_Amm-167.pdf,AF,167,"AF4,AF7"
SNOWMASS21-AF6_AF4-168.pdf,AF,168,"AF4,AF6"
SNOWMASS21-AF4_AF4_Dongkeun_Park_(MIT)-169.pdf,AF,169,AF4
SNOWMASS21-AF5_AF6-170.pdf,AF,170,"AF5,AF6"
SNOWMASS21-AF7_AF3_Rimmer-171.pdf,AF,171,"AF3,AF7"
SNOWMASS21-AF7_AF3_Rimmer-172.pdf,AF,172,"AF3,AF7"
